analysis,species,scenario,cluster_unit,n_pairs,n_clusters,median_delta,median_delta_ci95_low,median_delta_ci95_high,improved_fraction,improved_fraction_ci95_low,improved_fraction_ci95_high,delta_spearman,delta_spearman_ci95_low,delta_spearman_ci95_high,direction_agreement,direction_agreement_ci95_low,direction_agreement_ci95_high,hlm_median_delta,hlm_median_delta_ci95_low,hlm_median_delta_ci95_high,hlm_improved_fraction,hlm_improved_fraction_ci95_low,hlm_improved_fraction_ci95_high,rlm_median_delta,rlm_median_delta_ci95_low,rlm_median_delta_ci95_high,rlm_improved_fraction,rlm_improved_fraction_ci95_low,rlm_improved_fraction_ci95_high
single_species,HLM,primary,document_id,476,204,0.0,-0.054382452271583955,0.0234810958495228,0.49159663865546216,0.43468701481836697,0.5486000303649177,,,,,,,,,,,,,,,,,,
single_species,HLM,primary,pair_network_id,476,333,0.0,-0.0403938145443052,0.01984478368013535,0.49159663865546216,0.44123260833123795,0.5402349860572672,,,,,,,,,,,,,,,,,,
single_species,HLM,exclude_exact_zero_delta,document_id,459,200,-0.0184834056940131,-0.0719168917980437,0.0285310885861642,0.5098039215686274,0.4515296603716113,0.5690398260802499,,,,,,,,,,,,,,,,,,
single_species,HLM,exclude_exact_zero_delta,pair_network_id,459,323,-0.0184834056940131,-0.0579919469776866,0.0269834896855933,0.5098039215686274,0.4609924753502854,0.5573779047879803,,,,,,,,,,,,,,,,,,
single_species,HLM,exclude_absolute_delta_gt_1,document_id,467,200,0.0,-0.0448123444163621,0.0255711519369536,0.4860813704496788,0.4282654082487664,0.5447206078506096,,,,,,,,,,,,,,,,,,
single_species,HLM,exclude_absolute_delta_gt_1,pair_network_id,467,325,0.0,-0.03786603564401864,0.020257193878220107,0.4860813704496788,0.4376320272204136,0.5355574712643678,,,,,,,,,,,,,,,,,,
single_species,HLM,exclude_chembl_dataset_doi,document_id,467,203,0.0,-0.0448123444163621,0.0241472305005405,0.48822269807280516,0.4305260359057262,0.5452635188087773,,,,,,,,,,,,,,,,,,
single_species,HLM,exclude_chembl_dataset_doi,pair_network_id,467,326,0.0,-0.0383449920762196,0.0202033860882868,0.48822269807280516,0.44026312306179566,0.5373504239170501,,,,,,,,,,,,,,,,,,
single_species,RLM,primary,document_id,209,92,-0.074633618296904,-0.11994662615499925,-0.0238029146726246,0.5885167464114832,0.5056741813294233,0.6708346518987341,,,,,,,,,,,,,,,,,,
single_species,RLM,primary,pair_network_id,209,151,-0.074633618296904,-0.1149545157016986,-0.0330002391965931,0.5885167464114832,0.5158371040723982,0.6633178267575501,,,,,,,,,,,,,,,,,,
single_species,RLM,exclude_exact_zero_delta,document_id,200,91,-0.08409147971326295,-0.1267445374715623,-0.0420613450007114,0.615,0.5366944506601029,0.6901427587262706,,,,,,,,,,,,,,,,,,
single_species,RLM,exclude_exact_zero_delta,pair_network_id,200,146,-0.08409147971326295,-0.1249387366082999,-0.04286292302777135,0.615,0.5425506824568446,0.6868844696969695,,,,,,,,,,,,,,,,,,
single_species,RLM,exclude_absolute_delta_gt_1,document_id,202,91,-0.0738243335748585,-0.1080941799605701,-0.0119014573363123,0.5841584158415841,0.5,0.6666992187499995,,,,,,,,,,,,,,,,,,
single_species,RLM,exclude_absolute_delta_gt_1,pair_network_id,202,145,-0.0738243335748585,-0.1066194943945642,-0.02489705002718495,0.5841584158415841,0.5079344303166292,0.6605710887820977,,,,,,,,,,,,,,,,,,
single_species,RLM,exclude_chembl_dataset_doi,document_id,209,92,-0.074633618296904,-0.11994662615499925,-0.0238029146726246,0.5885167464114832,0.5056741813294233,0.6708346518987341,,,,,,,,,,,,,,,,,,
single_species,RLM,exclude_chembl_dataset_doi,pair_network_id,209,151,-0.074633618296904,-0.1149545157016986,-0.0330002391965931,0.5885167464114832,0.5158371040723982,0.6633178267575501,,,,,,,,,,,,,,,,,,
cross_species,HLM_RLM,primary,document_id,97,42,,,,,,,0.4305218002960134,0.19616806268801523,0.6319879837910164,0.6185567010309279,0.5294117647058824,0.7096854838709676,0.0269834896855933,-0.0255541044723881,0.0969100130080564,0.4020618556701031,0.29310344827586204,0.515879416282642,-0.0259911853817453,-0.09366181949376476,0.04623301359487115,0.5154639175257731,0.4,0.6381003039513676
cross_species,HLM_RLM,primary,pair_network_id,97,68,,,,,,,0.4305218002960134,0.19854027311183295,0.6390663605461825,0.6185567010309279,0.5208227040816327,0.7173976982097185,0.0269834896855933,-0.0220187550832006,0.0969100130080564,0.4020618556701031,0.2962962962962963,0.5111111111111111,-0.0259911853817453,-0.0865129129752064,0.024779216732310698,0.5154639175257731,0.40425531914893614,0.6285787923416788
cross_species,HLM_RLM,exclude_any_exact_zero_delta,document_id,86,40,,,,,,,0.4453375979501196,0.19052732563446417,0.6656444809731474,0.6511627906976745,0.5616438356164384,0.7529448075526506,0.0404506132209493,-0.06439166765618101,0.11205502697506123,0.4418604651162791,0.31459281270312933,0.5682133838383834,-0.03149139161237375,-0.1017989331000372,0.1026623418971475,0.5348837209302325,0.4105263157894737,0.6608862876254178
cross_species,HLM_RLM,exclude_any_exact_zero_delta,pair_network_id,86,62,,,,,,,0.4453375979501196,0.20608143982755436,0.6549211906736858,0.6511627906976745,0.539304235090752,0.7561053783614758,0.0404506132209493,-0.0407449676900593,0.1119737594439323,0.4418604651162791,0.3333333333333333,0.5542168674698795,-0.03149139161237375,-0.09978617745260196,0.1026623418971475,0.5348837209302325,0.4146341463414634,0.6621665496665496
cross_species,HLM_RLM,exclude_any_absolute_delta_gt_1,document_id,95,42,,,,,,,0.4020335235666692,0.15969502799199245,0.614322789643259,0.6105263157894737,0.5212765957446809,0.7021339918946301,0.0269834896855933,-0.0184834056940131,0.0969100130080564,0.3894736842105263,0.2831714120815698,0.5045915246832677,-0.0172264019745105,-0.0904136259794731,0.0642269405522526,0.5052631578947369,0.38461538461538464,0.629649758454106
