external_record_id,doc_id,doc_doi,doc_title,is_fluorinated,external_hlm,external_rlm,hlm_assay_ids,rlm_assay_ids,hlm_endpoint_class,rlm_endpoint_class,same_endpoint_class,strict_total_intrinsic_pair,source_unit_per_ug_flag,full_inchikey_overlap,hlm_full_inchikeys,rlm_full_inchikeys,manual_source_review_required,hlm_source_units,rlm_source_units,hlm_assay_description,rlm_assay_description
OA35PAIR_01870,119263.0,10.1021/acs.jmedchem.9b02113,"Design, Synthesis, and Preclinical Evaluation of 3-Methyl-6-(5-thiophenyl)-1,3-dihydro-imidazo[4,5-b]pyridin-2-ones as Selective GluN2B Negative Allosteric Modulators for the Treatment of Mood Disorders.",1,0.8005796215691302,1.675228253593064,2073298,2073299,total_intrinsic,total_intrinsic,1,1,0,1,VBYDZMQKWHOANY-UHFFFAOYSA-N,VBYDZMQKWHOANY-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes at 1 uM after 5 to 60 mins in presence of NADPH by LC-MS/MS analysis,Intrinsic clearance in rat liver microsomes at 1 uM after 5 to 60 mins in presence of NADPH by LC-MS/MS analysis
OA35PAIR_01871,113650.0,10.1021/acs.jmedchem.9b01099,Development of Chemical Entities Endowed with Potent Fast-Killing Properties against <i>Plasmodium falciparum</i> Malaria Parasites.,1,-0.3297541469258759,-0.0819696632151198,1913595,1913594,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,VCBBHUKMCISGES-UHFFFAOYSA-N,VCBBHUKMCISGES-UHFFFAOYSA-N,1,mL.min-1.g-1,mL.min-1.g-1,Clearance in human liver microsomes at 0.5 uM measured up to 45 mins in presence of NADPH by HPLC-MS/MS analysis,Clearance in rat liver microsomes at 0.5 uM measured up to 45 mins in presence of NADPH by HPLC-MS/MS analysis
OA35PAIR_01872,111920.0,10.1021/acsmedchemlett.9b00219,Targeting IRAK4 for Degradation with PROTACs.,1,1.110589710299249,1.569373909615046,1861028,1861029,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,VCCDOPPWOSIMCD-LLCFZETMSA-N,VCCDOPPWOSIMCD-LLCFZETMSA-N,1,mL.min-1.kg-1,mL.min-1.kg-1,Clearance in human liver microsomes,Clearance in rat liver microsomes
OA35PAIR_01874,58244.0,10.1016/j.bmcl.2011.05.063,Optimisation of a novel series of selective CNS penetrant CB(2) agonists.,1,0.9132839017604184,1.534026106056135,757137,757138,total_intrinsic,total_intrinsic,1,1,0,1,VCHRFDMGRWTDAX-UHFFFAOYSA-N,VCHRFDMGRWTDAX-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01875,66642.0,10.1021/jm3012239,Discovery of potent and selective pyrazolopyrimidine janus kinase 2 inhibitors.,0,1.1760912590556811,1.591064607026499,874074,874068,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,VCZAFUUQQIEMKI-UHFFFAOYSA-N,VCZAFUUQQIEMKI-UHFFFAOYSA-N,1,mL.min-1.kg-1,mL.min-1.kg-1,Clearance in human liver microsomes,Clearance in rat liver microsomes
OA35PAIR_01876,121906.0,10.1016/j.ejmech.2021.113986,"Synthesis, biological, and structural explorations of a series of μ-opioid receptor (MOR) agonists with high G protein signaling bias.",1,1.4653828514484182,2.24551266781415,2158630,2158628,total_intrinsic,total_intrinsic,1,1,0,1,VDEAHPKUJXNLGH-FGZHOGPDSA-N,VDEAHPKUJXNLGH-FGZHOGPDSA-N,0,mL.min-1.kg-1,mL.min-1.kg-1,Metabolic stability in human liver microsomes assessed as intrinsic clearance preincubated for 10 mins followed by NADPH addition and measured after 60 mins by LC-MS/MS analysis,Metabolic stability in rat liver microsomes assessed as intrinsic clearance preincubated for 10 mins followed by NADPH addition and measured after 60 mins by LC-MS/MS analysis
OA35PAIR_01877,110861.0,10.1021/acs.jmedchem.9b01721,"Discovery of Highly Potent, Selective, and Orally Efficacious p300/CBP Histone Acetyltransferases Inhibitors.",1,1.3282572497312364,1.7698202577635922,1825665,1825666,total_intrinsic,total_intrinsic,1,1,0,1,VDEZYUOBIXKTHI-NVQXNPDNSA-N,VDEZYUOBIXKTHI-NVQXNPDNSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes assessed per mg protein at 0.1 uM preincubated for 10 mins followed by NADPH addition and measured up to 60 mins by UPLC-MS/MS analysis,Intrinsic clearance in rat liver microsomes assessed per mg protein at 0.1 uM preincubated for 10 mins followed by NADPH addition and measured up to 60 mins by UPLC-MS/MS analysis
OA35PAIR_01878,114094.0,10.1016/j.bmcl.2016.06.078,"Lead optimization of a pyrazolo[1,5-a]pyrimidin-7(4H)-one scaffold to identify potent, selective and orally bioavailable KDM5 inhibitors suitable for in vivo biological studies.",0,1.1760912590556811,1.591064607026499,1924196,1924197,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,VDGJHWTVKNMVKW-UHFFFAOYSA-N,VDGJHWTVKNMVKW-UHFFFAOYSA-N,1,mL.min-1.kg-1,mL.min-1.kg-1,Clearance in human liver microsomes,Clearance in rat liver microsomes
OA35PAIR_01879,119963.0,10.1021/acs.jmedchem.0c01964,Novel Sigma 1 Receptor Antagonists as Potential Therapeutics for Pain Management.,0,0.8316138553090989,2.1126050015345745,2094378,2094376,total_intrinsic,total_intrinsic,1,1,0,1,VDGWYCOTDATRIF-UHFFFAOYSA-N,VDGWYCOTDATRIF-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes at 10 uM incubated for 1 hr in presence of NADPH by LC-MS/MS analysis,Intrinsic clearance in rat liver microsomes at 10 uM incubated for 1 hr in presence of NADPH by LC-MS/MS analysis
OA35PAIR_01880,109758.0,10.1016/j.bmcl.2018.07.043,"Novel, potent, selective and brain penetrant vasopressin 1b receptor antagonists.",0,2.811695626474591,2.4483971034577676,1794573,1794574,total_intrinsic,total_intrinsic,1,1,0,1,VDTJCIRWCRGMPT-UHFFFAOYSA-N,VDTJCIRWCRGMPT-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01881,116822.0,10.1021/acsmedchemlett.0c00060,Design and Synthesis of Styrenylcyclopropylamine LSD1 Inhibitors.,0,1.3234583668494675,1.9365137424788936,1996284,1996282,total_intrinsic,total_intrinsic,1,1,0,1,VEBYKOHUNKYAFN-BGBRNYFRSA-N,VEBYKOHUNKYAFN-BGBRNYFRSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Metabolic stability in human liver microsomes assessed as intrinsic clearance,Metabolic stability in rat liver microsomes assessed as intrinsic clearance
OA35PAIR_01882,124666.0,10.1021/acs.jmedchem.2c00414,Multiparameter Optimization of Naphthyridine Derivatives as Selective α5-GABA<sub>A</sub> Receptor Negative Allosteric Modulators.,1,1.691435152144062,2.5774917998372255,2253117,2253118,total_intrinsic,total_intrinsic,1,1,0,1,VELCIJHTXAIRCT-UHFFFAOYSA-N,VELCIJHTXAIRCT-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 2.5 uM,Metabolic stability in Wistar rat liver microsomes assessed as intrinsic clearance at 2.5 uM
OA35PAIR_01883,73675.0,10.1021/jm4000038,"Discovery of novel, induced-pocket binding oxazolidinones as potent, selective, and orally bioavailable tankyrase inhibitors.",0,1.2143138974243997,2.7024305364455254,959443,959442,total_intrinsic,total_intrinsic,1,1,0,1,VERJHOAQBPYQNX-LNLFQRSKSA-N,VERJHOAQBPYQNX-LNLFQRSKSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01884,74184.0,10.1021/jm400402q,"Synthesis, structure-activity relationships, and in vivo efficacy of the novel potent and selective anaplastic lymphoma kinase (ALK) inhibitor 5-chloro-N2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-(isopropylsulfonyl)phenyl)pyrimidine-2,4-diamine (LDK378) currently in phase 1 and phase 2 clinical trials.",0,1.3469394626989906,1.255272505103306,971480,971482,total_intrinsic,total_intrinsic,1,1,0,1,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01885,60634.0,10.1016/j.bmcl.2011.10.113,A novel series of glucagon receptor antagonists with reduced molecular weight and lipophilicity.,1,1.9590413923210936,1.4771212547196624,795445,795446,apparent_intrinsic,apparent_intrinsic,1,0,0,1,VERXBCYVZFLZNT-UHFFFAOYSA-N,VERXBCYVZFLZNT-UHFFFAOYSA-N,1,mL.min-1.kg-1,mL.min-1.kg-1,Apparent intrinsic clearance in human liver microsomes,Apparent intrinsic clearance in rat liver microsomes
OA35PAIR_01886,115693.0,10.1021/acsmedchemlett.9b00611,Discovery of CNS-Penetrant Apoptosis Signal-Regulating Kinase 1 (ASK1) Inhibitors.,0,0.6989700043360189,1.4913616938342726,1972814,1972813,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,VETLYCXFSXJTQA-UHFFFAOYSA-N,VETLYCXFSXJTQA-UHFFFAOYSA-N,1,mL.min-1.kg-1,mL.min-1.kg-1,Clearance in human liver microsomes,Clearance in rat liver microsomes
OA35PAIR_01887,61468.0,10.1016/j.bmcl.2012.01.023,"The discovery of aminopyrazines as novel, potent Na(v)1.7 antagonists: hit-to-lead identification and SAR.",1,1.499549625905149,1.48572142648158,811996,811997,total_intrinsic,total_intrinsic,1,1,0,1,VFBZQFVDFIBXGZ-UHFFFAOYSA-N,VFBZQFVDFIBXGZ-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01888,65887.0,10.1016/j.bmcl.2012.09.059,Discovery of novel pyrrolopyridazine scaffolds as transient receptor potential vanilloid (TRPV1) antagonists.,1,2.244277120801843,2.401400540781544,858359,858358,apparent_intrinsic,apparent_intrinsic,1,0,0,1,VFCNGSOOYNHGME-GOSISDBHSA-N,VFCNGSOOYNHGME-GOSISDBHSA-N,1,mL.min-1.g-1,mL.min-1.g-1,Intrinsic apparent clearance in human liver microsomes,Intrinsic apparent clearance in rat liver microsomes
OA35PAIR_01889,36898.0,10.1016/j.bmcl.2007.06.054,Oxazolones as potent inhibitors of 11beta-hydroxysteroid dehydrogenase type 1.,0,1.1821292140529984,1.9628426812012425,448532,448533,total_intrinsic,total_intrinsic,1,1,0,1,VFQIZPSQHCJETJ-UHFFFAOYSA-N,VFQIZPSQHCJETJ-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
