analysis,transformation,n_pairs,n_documents,n_pair_networks,direction_agreement,species_opposite_direction,delta_hlm_delta_rlm_spearman,direction_agreement_ci95_low,direction_agreement_ci95_high,delta_spearman_ci95_low,delta_spearman_ci95_high,hlm_median_delta,hlm_median_delta_ci95_low,hlm_median_delta_ci95_high,hlm_improved_fraction,hlm_improved_fraction_ci95_low,hlm_improved_fraction_ci95_high,hlm_cluster_signflip_p_two_sided,rlm_median_delta,rlm_median_delta_ci95_low,rlm_median_delta_ci95_high,rlm_improved_fraction,rlm_improved_fraction_ci95_low,rlm_improved_fraction_ci95_high,rlm_cluster_signflip_p_two_sided
cross_species_both_assays_matched,all,97,42,68,0.6185567010309279,0.38144329896907214,0.4305218002960134,0.5315315315315315,0.7108500669344041,0.19884499254230037,0.6387842189408077,0.026983489685593387,-0.02686135999953998,0.09691001300805646,0.4020618556701031,0.29364648033126295,0.5193823618242223,0.5381461853814619,-0.025991185381745385,-0.09366181949376477,0.0462330135948712,0.5154639175257731,0.4024323966065748,0.6363636363636364,0.8513148685131486
cross_species_both_assays_matched,Ar-H_to_Ar-F,80,38,57,0.625,0.375,0.39008769316285213,0.5294117647058824,0.7285714285714285,0.12362166502841125,0.6312232113915782,0.027506106642918485,0.0,0.1249387366082999,0.375,0.2686532614704257,0.49295774647887325,0.9899010098990101,-0.008613200987255265,-0.07582111724035778,0.07160095996104854,0.5,0.3557638888888889,0.6527777777777778,0.42745725427457254
cross_species_both_assays_matched,C-H_to_C-F,4,3,4,0.25,0.75,-0.39999999999999997,0.0,1.0,-1.0,-0.3333333333333334,0.007616641960428272,-0.07651297749349395,0.08715017571890027,0.5,0.0,1.0,1.0,0.08568907713330365,-0.06109961150162291,0.13450022062526945,0.25,0.0,0.5,0.5024497550244975
cross_species_both_assays_matched,CH2_to_CF2,6,6,6,1.0,0.0,0.8857142857142858,1.0,1.0,0.0,1.0,-0.022282523780648267,-0.6643016660170012,0.21732912690195494,0.5,0.16666666666666666,0.8333333333333334,0.47115288471152883,-0.08793565371341006,-0.8796847257150754,0.366381274140547,0.5,0.16666666666666666,0.8333333333333334,0.5660433956604339
cross_species_both_assays_matched,CH3_to_CF3,4,4,4,0.5,0.5,1.0,0.0,1.0,1.0,1.0,-0.0913404825516625,-0.43572856956143735,0.14612803567823796,0.5,0.0,1.0,0.49845015498450157,-0.3183344606958569,-0.8346326063360917,-0.1538835003750001,1.0,1.0,1.0,0.12168783121687832
cross_species_both_assays_matched,OCH3_to_OCF3,3,3,3,0.3333333333333333,0.6666666666666667,,0.0,1.0,,,-0.2416571429699088,-0.4548448600085102,0.07463361829690407,0.6666666666666666,0.0,1.0,0.5003499650034996,-0.10179893310003729,-1.223582462425357,0.1249387366082999,0.6666666666666666,0.0,1.0,0.7484251574842515
