analysis,species,transformation,n_pairs,n_documents,n_assays,n_pair_networks,median_delta,median_delta_ci95_low,median_delta_ci95_high,improved_fraction,improved_fraction_ci95_low,improved_fraction_ci95_high,cluster_signflip_p_two_sided,cluster_signflip_q_bh
single_species_same_assay,HLM,all,476,204,204,333,0.0,-0.052388069459688325,0.02208844898608031,0.49159663865546216,0.4351289008521419,0.5481183543817896,0.024997500249975,0.0999900009999
single_species_same_assay,HLM,Ar-H_to_Ar-F,340,149,149,236,0.012103562937872847,-0.02530586526477019,0.03778856088939975,0.45294117647058824,0.38873218539724996,0.5197593078248274,0.35666433356664334,0.534996500349965
single_species_same_assay,HLM,CH2_to_CF2,42,34,34,40,-0.12439679756815525,-0.2360789175940562,-0.014644688050993837,0.6428571428571429,0.5,0.7778333333333325,0.015498450154984501,0.0999900009999
single_species_same_assay,HLM,CH3_to_CF3,66,50,50,66,-0.11704160301668398,-0.2936813519418353,0.0,0.6060606060606061,0.4838709677419355,0.7272727272727273,0.05699430056994301,0.13678632136786323
single_species_same_assay,HLM,OCH3_to_OCF3,9,6,6,9,-0.10125540816750789,-0.6368220975871746,0.23323551399104392,0.5555555555555556,0.25,0.8888888888888888,0.7864213578642136,0.8579142085791421
single_species_same_assay,HLM,C-H_to_C-F,19,17,17,19,0.04042865705560805,-0.14612803567823796,0.09814732257198416,0.42105263157894735,0.21052631578947367,0.65,0.41355864413558646,0.5514115255141152
single_species_same_assay,RLM,all,209,92,92,151,-0.07463361829690407,-0.11994662615499929,-0.024897050027185008,0.5885167464114832,0.5079344303166292,0.6682926829268293,0.0206979302069793,0.0999900009999
single_species_same_assay,RLM,Ar-H_to_Ar-F,160,76,76,114,-0.07307633370793382,-0.11092437480817817,0.0,0.58125,0.48322147651006714,0.6797450980392156,0.1317868213178682,0.2635736426357364
single_species_same_assay,RLM,CH3_to_CF3,23,19,19,23,-0.11495451570169868,-0.18839504175297472,0.002876164444545637,0.6521739130434783,0.45454545454545453,0.8519841269841251,0.0380961903809619,0.11428857114288571
single_species_same_assay,RLM,CH2_to_CF2,14,13,13,14,-0.1389823457976439,-0.5546353413998242,0.3207740538597381,0.6428571428571429,0.35714285714285715,0.9230769230769231,0.17018298170182983,0.29174225434599393
single_species_same_assay,RLM,C-H_to_C-F,8,7,7,8,-0.021803756743557945,-0.15792688599050275,0.10266234189714751,0.5,0.14285714285714285,0.8571428571428571,0.5127487251274873,0.6152984701529848
single_species_same_assay,RLM,OCH3_to_OCF3,4,4,4,4,0.011569901754131307,-1.223582462425357,0.2600713879850748,0.5,0.0,1.0,0.875012498750125,0.875012498750125
