evaluation,scope,metric,n,delta_gine_minus_lightgbm,ci95_low,ci95_high,two_sided_p,bootstrap_unit,bootstrap_iterations
scaffold_cv,fluorinated,interval_rmse,557,0.023884443029810243,0.006081768655473424,0.04185102896338768,0.0088,murcko_scaffold,10000
strict_external,fluorinated,rmse,598,0.06945336079200726,-0.011313616897789062,0.15356301094059824,0.0878,doc_id,10000
