model,seeds,rmse,mae,spearman,low_clearance_auc,seed_rmse_min,seed_rmse_max
CatBoost,20260819;20260820;20260821,0.6058103288436266,0.42414487182842364,0.7775216469727376,0.8639666175748649,0.6051962836838488,0.6077304161508488
XGBoost,20260819;20260820;20260821,0.6123283956994364,0.4310649583862411,0.7674101079484562,0.8622238586156112,0.6123018641303762,0.6134931690716887
LightGBM,20260819;20260820;20260821,0.6151414760919962,0.4336825590302954,0.7734469753921868,0.8641752577319588,0.6141915195325167,0.6171377725865343
RandomForest,20260819;20260820;20260821,0.6258386029270954,0.44674536430701994,0.7823103442682756,0.8662984781541483,0.6256522081607558,0.626418752759899
ExtraTrees,20260819;20260820;20260821,0.6383099230331095,0.4616494920493236,0.7867837232289728,0.8691212567501228,0.6380903510098848,0.6387888033183471
descriptor_MLP,20260819;20260820;20260821,0.6649898398614624,0.4912556198817579,0.7686274421071497,0.8577810505645557,0.652169993509598,0.6901083294348579
Ridge,20260819;20260820;20260821,0.972261513515042,0.7264251061548617,0.46148931447531255,0.7231345115365734,0.972261513515042,0.972261513515042
