evaluation,scope,seed,n,n_uncensored,uncensored_rmse,uncensored_mae,uncensored_spearman,interval_rmse,low_clearance_roc_auc,low_clearance_pr_auc,top20_low_clearance_fraction,low_clearance_prevalence,top20_enrichment
scaffold_cv,all,20260819,3049,2110,0.418614098292512,0.3205903565610367,0.6820603640071319,0.3882848635102519,0.8919419404125286,0.9402852698306432,0.9819672131147541,0.6969498196129879,1.408949662487946
scaffold_cv,fluorinated,20260819,557,389,0.3959283536708739,0.29418661248732547,0.7155020985009454,0.36107416828356415,0.9155821917808218,0.939786556168181,0.9821428571428571,0.6552962298025135,1.4987769080234834
scaffold_cv,nonfluorinated,20260819,2492,1721,0.4235734700783186,0.3265584311947808,0.6734034788958767,0.39411006184094194,0.8860174490809737,0.940960008382296,0.9819639278557114,0.7062600321027287,1.3903716523957006
strict_external,fluorinated,20260819,598,598,0.6917164904404909,0.5161321726416134,0.7228033098687556,0.6917164904404909,0.8272827687776141,0.8847771604605048,0.9666666666666667,0.6488294314381271,1.4898625429553265
scaffold_cv,all,20260820,3049,2110,0.4368165269409615,0.3336254376127719,0.6720230409105481,0.39499242394794726,0.8884227145403616,0.9364622716096839,0.9721311475409836,0.6969498196129879,1.394836644165863
scaffold_cv,fluorinated,20260820,557,389,0.37573015297763585,0.29328454582101876,0.7446266910961843,0.34067779179782914,0.9210616438356164,0.9579585722819947,0.9910714285714286,0.6552962298025135,1.5124021526418787
scaffold_cv,nonfluorinated,20260820,2492,1721,0.4494750999640214,0.34274374493815946,0.6545341887682633,0.4061405676067364,0.8799770243417785,0.9326212855367317,0.9679358717434869,0.7062600321027287,1.370509200218619
strict_external,fluorinated,20260820,598,598,0.6807535027063638,0.5086694818247144,0.7407888005737631,0.6807535027063638,0.8400343642611685,0.8906998326019212,0.95,0.6488294314381271,1.4641752577319587
scaffold_cv,all,20260821,3049,2110,0.41321833002201774,0.3205197097807083,0.6801819569559948,0.3833651215798953,0.8948556149732622,0.9499892068377281,0.9934426229508196,0.6969498196129879,1.425414850530376
scaffold_cv,fluorinated,20260821,557,389,0.38023777500072276,0.298789109787806,0.724280177257798,0.3439276878093364,0.9212186073059361,0.9583789722874507,0.9910714285714286,0.6552962298025135,1.5124021526418787
scaffold_cv,nonfluorinated,20260821,2492,1721,0.42031454661779905,0.3254315072224509,0.6690263832407141,0.3916373404387997,0.8880852583209141,0.9482179438249517,0.9939879759519038,0.7062600321027287,1.4073966114046275
strict_external,fluorinated,20260821,598,598,0.7036823426358085,0.5138678143256952,0.7328037944376801,0.7036823426358085,0.8377025036818851,0.8891109262322033,0.95,0.6488294314381271,1.4641752577319587
scaffold_cv,all,ensemble,3049,2110,0.3940188219694485,0.30305437478648306,0.7108907410768782,0.36305239870203365,0.9042933537051183,0.952403821635375,0.9885245901639345,0.6969498196129879,1.4183583413693346
scaffold_cv,fluorinated,ensemble,557,389,0.3565642514859314,0.2742095818871704,0.755638685805976,0.3243298501644736,0.9289383561643835,0.9612325416696402,0.9910714285714286,0.6552962298025135,1.5124021526418787
scaffold_cv,nonfluorinated,ensemble,2492,1721,0.4020014918150104,0.30957420304786165,0.6994535449593896,0.3711554830609502,0.8978988139592647,0.9505358917599832,0.9879759519038076,0.7062600321027287,1.398884131900164
strict_external,fluorinated,ensemble,598,598,0.6845948368840035,0.5090679078426112,0.7394840089271092,0.6845948368840035,0.8396293568973981,0.8905247311578548,0.95,0.6488294314381271,1.4641752577319587
