scope,model,prediction_column,n,n_scaffolds,uncensored_rmse,uncensored_mae,uncensored_spearman,interval_rmse,low_clearance_auc
fluorinated,structure-only,structure_LGBM__general,557,504,0.4551528660229502,0.36149633553968447,0.5838976818382963,0.45322584900368484,0.8429509132420091
fluorinated,direct RLM-assisted,measured_RLM_LGBM__general,557,504,0.3316392880300478,0.252238259248275,0.7928796222444668,0.3079351470555289,0.939783105022831
fluorinated,RLM-anchored residual,RLM_anchor_residual_LGBM__general,557,504,0.3303736241211468,0.25101770327068634,0.7955435843465867,0.3032640150389494,0.943607305936073
nonfluorinated,structure-only,structure_LGBM__general,2492,2188,0.461307136100045,0.36269006975925433,0.5684757980350663,0.4385141599656963,0.8543855563835072
nonfluorinated,direct RLM-assisted,measured_RLM_LGBM__general,2492,2188,0.36824937653487,0.28209133413927207,0.7395359491439955,0.3430752378373718,0.9136107488822652
nonfluorinated,RLM-anchored residual,RLM_anchor_residual_LGBM__general,2492,2188,0.37458989610116855,0.2863247780541481,0.7376271026420604,0.347780985522452,0.9131830601092896
