split_strategy,model,reference,rmse_delta_model_minus_reference,rmse_delta_ci95_low,rmse_delta_ci95_high,bootstrap_probability_model_better
document_id,training_mean,no_change,0.0011678516423463403,-0.0052773236290444,0.009081377406918929,0.3708
document_id,delta_RLM_OLS,no_change,-0.029232351338295548,-0.058916086017477755,-0.001241327373188652,0.9798
document_id,delta_RLM_Huber,no_change,-0.02701155377145431,-0.05771209632429573,-0.0006891638787868231,0.9769
document_id,delta_RLM_plus_transform_Ridge,no_change,-0.027640998801466254,-0.0539418287328553,-0.003388289202808395,0.9865
pair_network_id,training_mean,no_change,-0.0005524542538191124,-0.006550110145792284,0.006012189502548156,0.5734
pair_network_id,delta_RLM_OLS,no_change,-0.02807718283685945,-0.05908283878819074,0.0027433379813505262,0.9635
pair_network_id,delta_RLM_Huber,no_change,-0.02702623129700943,-0.058630041507416984,0.00436660878995969,0.957
pair_network_id,delta_RLM_plus_transform_Ridge,no_change,-0.021785039177170396,-0.04875560303635394,0.0061441320068159845,0.9356
